lm_halo,n_sats_halo
9.9970455,0
11.549352,4
9.971712,0
11.365785,5
11.467835,8
10.653415,1
12.0232525,8
10.445208,0
10.416901,0
11.6701145,3
10.584097,0
9.919159,0
10.205676,1
10.068569,0
10.139908,0
11.149688,3
9.963038,0
10.419254,0
10.084254,1
10.318745,0
10.008488,0
10.564825,1
11.461025,5
9.92822,0
11.898252,5
11.309748,1
9.989253,0
11.512175,2
10.014813,2
9.9165325,0
9.944753,0
11.737954,5
10.753621,0
10.890585,0
10.090234,0
10.192763,0
9.922066,0
10.228833,0
10.846303,1
10.549917,1
10.173339,0
10.028498,0
10.267601,1
10.254043,0
10.986249,2
9.99714,0
9.97217,0
10.008118,0
10.249984,0
10.171523,1
11.972313,9
9.967699,1
10.656819,0
10.103194,0
10.636186,1
10.091962,1
11.1234665,3
10.385712,0
10.934516,2
11.130866,2
11.116096,1
10.21141,0
10.41153,0
11.272987,3
11.914639,16
10.040741,0
11.351223,3
10.5154505,0
10.152474,0
10.401222,1
10.2383,0
11.541252,6
10.447388,0
10.107069,0
10.545887,1
9.914291,0
12.06377,11
11.780887,7
12.237082,19
12.28755,25
11.545886,8
9.951054,0
10.348042,1
10.195364,0
10.993068,1
12.784517,58
11.271168,1
10.15561,0
13.567028,341
10.062008,2
10.374939,1
10.948955,1
9.928972,0
11.222683,2
9.922069,0
12.424519,29
10.016939,0
9.936925,0
10.689149,4
10.503868,1
10.705873,1
10.781928,0
10.710043,0
10.025991,0
10.23956,1
11.865749,6
10.659726,2
10.362835,0
10.310171,0
9.985245,0
10.771239,1
10.175717,0
10.493454,0
10.322283,0
10.160371,1
10.522506,0
10.66716,0
11.517045,4
10.568487,0
10.083246,0
10.692837,2
11.489325,2
10.052069,1
10.1221,0
10.297932,0
10.517226,0
9.903327,0
10.722547,1
10.116608,0
11.929057,11
10.902418,1
9.92758,0
9.910885,0
11.291203,2
10.112964,0
9.916977,2
10.654459,0
9.991995,1
11.383311,0
10.337121,0
10.318786,0
10.470758,0
11.845022,8
10.382597,0
10.640594,0
10.323149,0
10.218825,1
10.084522,0
10.04182,1
11.142673,1
10.20966,1
10.634847,1
10.012754,0
10.224845,0
11.549052,4
10.518815,1
11.60463,2
10.055527,0
11.610396,6
10.577985,0
12.753545,45
10.993943,2
10.152427,1
10.157291,0
10.981527,1
9.926096,0
10.252566,0
10.153249,0
10.87462,2
12.064982,8
10.116761,0
10.744566,0
10.836487,2
10.125103,0
9.942665,0
10.12271,0
10.094813,0
9.981823,0
11.709376,4
10.19832,0
11.352599,2
10.566207,0
11.662414,8
10.872105,0
11.243409,4
11.605343,3
10.694577,0
10.167102,0
10.430613,2
9.974496,1
10.175796,0
10.128244,1
10.119337,0
10.277286,0
10.246805,1
10.728451,1
11.471538,4
9.906001,0
10.274692,1
10.464489,0
10.3466,1
10.938537,2
10.439391,1
10.285477,0
12.023927,10
10.413995,0
10.288402,0
10.852183,0
10.404116,0
10.260057,0
10.343741,1
10.080029,0
13.506917,292
9.950139,1
10.500129,1
9.958151,0
10.029586,0
10.328174,0
9.949577,0
9.993065,0
10.4731655,0
10.115756,0
11.337913,5
11.808318,5
10.571585,2
10.275389,0
13.471154,266
11.252323,1
10.324294,2
10.083242,0
10.15791,0
10.076492,0
10.439082,2
10.380404,0
11.52036,2
10.351205,2
10.26377,0
9.961356,0
12.897184,69
10.837224,2
10.3021145,0
10.461763,0
10.208894,2
12.059074,14
12.196617,12
9.929262,1
10.387501,1
11.213318,4
10.073394,0
10.388349,1
10.324361,0
11.553492,8
10.584258,0
10.584523,2
10.2900715,0
10.216037,0
10.279032,1
9.968589,0
11.082287,3
10.629164,0
12.033065,6
9.91311,0
10.144651,0
10.053616,0
10.06273,0
10.495415,0
11.910046,6
9.941595,0
10.604293,1
9.996334,0
9.995986,0
10.511301,0
10.737395,0
10.978394,2
10.114908,0
11.003789,0
13.585125,369
12.099607,10
10.368928,1
10.109586,0
13.257204,154
11.252595,3
10.3822,1
10.118202,0
9.915681,0
10.12603,0
13.119943,124
10.557412,1
10.006017,0
10.611614,2
10.063802,0
10.115851,0
10.271559,0
10.497723,0
10.410069,1
11.253981,1
10.772066,0
10.148194,0
9.976576,0
11.827608,9
12.954094,75
10.242802,0
10.590103,0
9.917968,0
11.11868,0
10.223351,0
10.061088,0
10.234755,0
10.618661,0
10.355579,1
12.538683,28
10.962681,0
11.488406,6
11.648254,5
11.504931,7
9.912335,0
10.985709,1
10.147601,0
11.496241,5
10.6931,0
10.166159,0
12.184419,10
10.188277,0
11.451492,4
10.523887,0
10.617301,0
9.922539,1
11.573129,3
11.02239,4
9.923507,0
10.019452,0
10.5492115,2
10.216573,1
9.9341,0
12.592592,34
9.923422,0
10.006506,0
10.295334,0
10.479268,1
12.077191,8
9.926795,0
9.910104,0
10.134948,0
12.392907,24
10.860642,0
10.410226,0
10.004824,0
9.942918,1
9.911908,0
10.471805,1
10.105499,1
10.492377,0
10.55716,0
10.629561,1
10.549777,0
12.569902,40
9.946929,0
10.696645,1
11.790242,5
10.103182,0
9.947694,0
10.16317,0
12.103919,17
11.312134,3
9.936727,0
10.363763,0
10.326567,2
9.907166,0
10.02756,1
10.58875,1
10.356298,0
10.084826,0
10.076778,0
9.962053,0
10.229305,0
10.332834,0
9.979315,0
10.34158,0
10.208114,0
11.232843,2
10.00651,0
11.30009,3
9.903689,0
10.451416,0
9.932981,0
10.584803,0
10.682648,0
11.854035,7
10.240905,0
10.766539,1
11.384673,1
10.109063,0
9.917467,0
11.297867,2
10.379585,1
10.472848,0
9.929227,0
10.189511,0
12.083111,7
10.786856,0
11.29329,3
10.544731,1
10.181073,0
11.029859,1
11.433473,2
12.165636,18
10.897143,1
10.21901,0
10.594879,1
10.117133,0
10.18779,0
9.927349,0
10.854275,1
9.958341,0
10.540584,1
11.490971,3
10.107303,0
10.110833,0
12.622915,42
11.035913,1
10.280707,0
10.418904,0
10.052713,0
10.193889,0
11.595018,4
11.392795,3
12.988117,88
9.912051,0
10.623962,1
9.946133,0
10.018503,1
11.967641,13
10.218216,0
10.744692,0
11.938615,5
10.193821,1
10.876134,1
10.789196,0
10.805461,0
12.16262,10
12.951997,79
10.682899,1
10.829388,0
10.93176,1
12.987168,94
10.744348,2
12.811886,77
12.244781,23
12.225981,11
10.682393,0
10.389391,1
10.47323,0
10.585666,1
10.335212,2
10.043885,0
10.956107,0
10.206931,1
10.282981,0
11.231075,1
11.962961,11
10.07858,0
10.513748,2
11.649014,4
10.835085,1
11.542231,3
10.298608,1
9.999096,0
10.606486,0
11.372392,3
10.16438,0
10.169516,0
10.034783,0
9.970072,0
10.152859,0
10.088166,0
9.992042,0
10.484603,0
9.970936,0
10.500346,0
12.022203,17
10.060854,0
11.301142,7
10.972652,0
11.117124,1
11.33037,3
11.9147005,11
10.132027,1
12.614232,37
12.054245,8
10.713373,0
10.127338,0
9.9502,1
10.747716,1
10.30074,0
10.970181,2
10.778615,1
10.0486765,0
10.045443,0
11.174106,2
10.835287,0
10.135594,1
10.258563,0
10.73392,1
10.330966,1
10.102044,0
11.002463,1
9.977994,1
9.929328,0
10.321809,0
10.424741,0
13.283988,177
9.908507,0
9.915181,0
10.703359,1
13.00393,93
13.00393,93
10.755407,1
10.280969,0
10.332307,0
9.925259,1
10.64868,0
9.986862,0
9.9527645,0
10.087745,0
10.307253,0
9.951142,0
10.704895,0
11.551627,2
13.481594,275
10.373446,1
10.001057,0
10.172973,0
11.05081,1
10.169373,0
9.915449,0
10.124808,0
10.2667465,0
10.070411,0
9.9774685,2
10.228138,0
13.314515,190
10.865139,1
10.436352,0
11.127624,2
12.759151,56
10.587877,0
12.378158,12
11.187665,3
10.762291,0
10.16763,0
9.971981,0
11.006846,1
11.544788,2
10.409902,0
10.564251,1
10.288915,1
11.258887,3
12.471941,17
13.261999,190
13.464495,276
10.980969,1
11.048513,1
9.903489,1
10.046097,0
11.001851,1
10.629244,1
10.110019,0
9.94027,0
11.352325,2
10.049298,0
12.10442,12
11.859293,6
10.172155,1
10.285952,0
10.25179,0
10.357887,1
10.099881,0
10.429848,0
11.762276,6
11.414349,4
10.623026,0
10.149705,0
10.326606,0
10.977071,4
10.469321,0
12.8486805,50
10.634184,1
9.912813,0
10.154836,0
10.189631,0
11.907708,6
10.387139,0
10.09119,0
10.025722,0
10.830224,1
10.0670595,0
10.238751,0
9.938107,0
11.321162,1
11.479221,3
9.996545,0
11.299949,3
9.911818,0
9.913598,0
10.112718,1
10.215975,0
10.854324,0
10.622267,1
9.960193,0
11.90756,5
10.843582,1
10.987995,1
9.929284,0
10.087941,0
12.522231,26
11.964649,10
10.143376,0
10.919092,0
10.142662,0
10.131981,0
10.177572,0
9.942955,0
12.927288,93
12.927288,93
11.633355,4
11.701117,6
10.5383215,0
10.707144,0
10.056787,0
11.826695,5
10.0385895,1
10.124752,1
12.70058,55
10.69295,1
10.136636,0
10.523151,0
10.901669,0
11.217239,1
10.207376,0
11.74792,4
10.181639,1
9.949606,0
11.010701,1
10.80033,0
11.468257,5
11.797106,9
10.228785,0
12.440262,30
12.68966,42
10.53062,1
10.201639,0
9.914265,0
10.879513,1
9.980259,1
12.147397,19
10.316464,1
10.824306,2
9.936075,0
9.981759,0
12.686047,36
10.393753,1
10.7163105,2
9.964225,0
10.826757,1
10.087402,0
10.661781,1
10.76466,0
10.32942,0
12.507997,34
9.919291,0
10.076771,0
10.955344,4
10.263309,0
13.124208,109
9.903371,0
11.615637,5
9.968436,0
10.55125,0
10.076755,0
9.903509,0
11.99094,11
10.232386,0
10.122804,0
9.975057,0
10.3839655,0
10.592203,0
12.3201275,29
11.082289,1
10.220933,1
10.023967,1
10.50774,0
10.391097,0
9.914385,0
10.068942,0
10.03397,0
9.915625,0
10.421174,0
9.928647,0
