kind,n_sats_halo,log_luminosity_r01
0,1,8.364835
0,0,8.005877
0,0,8.498961
0,0,7.9468756
0,1,8.561127
0,0,7.7008452
0,0,7.4874697
0,1,8.136735
0,0,8.12805
0,1,9.478899
0,0,7.791714
0,2,7.726293
0,0,7.6102943
0,2,9.287521
0,0,7.7620625
0,0,7.6252627
0,0,7.575579
0,0,8.932979
0,0,8.737119
0,0,7.5846643
0,1,8.020233
0,2,8.754304
0,0,8.0971575
0,0,8.17803
0,0,7.403167
0,1,8.844193
0,0,7.9872556
0,0,8.361184
0,0,7.852967
0,0,8.483495
0,0,8.834195
0,4,9.833456
0,0,8.420101
0,0,7.6389995
0,1,7.784023
0,0,7.8261
0,0,8.138596
0,0,8.412612
0,0,7.6687884
0,1,8.88762
0,0,7.6939287
0,1,9.040626
0,0,7.505328
0,0,7.3559585
0,0,7.755627
0,2,7.60692
0,0,8.627907
0,1,7.6103735
0,0,9.491103
0,0,8.2706585
0,0,8.191001
0,0,8.497957
0,0,8.234965
0,0,8.674531
0,0,8.362861
0,0,7.6082907
0,1,7.7487493
0,1,8.726863
0,0,7.6424255
0,0,7.88488
0,1,8.461072
0,0,7.5958786
0,0,8.462641
0,2,9.0123625
0,1,8.074163
0,0,7.7494674
0,0,7.687792
0,0,8.141546
0,0,7.93609
0,0,7.8111134
0,0,8.825501
0,2,8.868387
0,0,7.916814
0,0,7.419419
0,0,7.8373103
0,0,7.9766493
0,0,7.9424005
0,0,7.9697013
0,0,8.7232685
0,0,8.965262
0,4,9.404417
0,3,9.850511
0,0,8.662159
0,0,8.004939
0,0,7.9349656
0,1,7.971218
0,0,8.00321
0,0,8.12532
0,1,9.027205
0,0,7.629134
0,1,8.04363
0,0,8.423881
0,0,8.04542
0,0,8.361152
0,0,8.006309
0,0,8.863169
0,0,8.373515
0,0,8.043665
0,1,8.219119
0,0,7.8402653
0,1,7.5686526
0,1,8.710241
0,0,7.6090665
0,0,7.8521347
0,0,8.111271
0,0,7.601712
0,0,7.8253765
0,0,8.25601
0,0,7.974647
0,2,8.559371
0,0,7.9019213
0,1,9.574464
0,2,8.041859
0,0,7.8935323
0,0,7.873398
0,0,7.823179
0,0,8.168423
0,2,9.648436
0,2,8.235251
0,0,7.8992543
0,0,7.6783786
0,0,8.221415
0,0,8.321781
0,2,7.9956503
0,1,7.3020725
0,1,8.132513
0,0,7.8234186
0,1,8.378965
0,0,8.021031
0,0,8.5998
0,0,8.0053005
0,0,7.887168
0,0,7.474781
0,0,8.634885
0,6,10.256581
0,0,7.6880627
0,0,8.052012
0,0,7.85667
0,0,7.7242465
0,0,8.384048
0,6,10.193743
0,0,7.3126116
0,1,8.581538
0,0,7.6975913
0,0,7.624175
0,0,8.471003
0,0,8.932771
0,0,7.7639537
0,0,9.156385
0,1,7.961869
0,0,7.88158
0,0,7.6606517
0,0,7.441153
0,0,7.9220743
0,1,8.671063
0,0,7.620746
0,0,7.5300198
0,0,8.207319
0,0,8.17738
0,0,8.561288
0,1,8.332441
0,1,9.563498
0,0,8.862669
0,0,7.7913823
0,0,7.563894
0,0,7.867584
0,0,8.459869
0,0,7.6439695
0,0,9.158569
0,0,7.9614015
0,0,7.766689
0,0,8.033127
0,0,8.466344
0,1,8.230592
0,0,9.018067
0,6,10.020631
0,0,7.436968
0,1,8.942586
0,0,7.8933463
0,0,8.527369
0,0,7.6934247
0,0,7.8146744
0,0,8.68671
0,0,8.665838
0,3,9.933542
0,0,7.6380057
0,0,7.9213943
0,2,8.34696
0,1,8.016489
0,0,7.5033135
0,0,7.467996
0,0,7.8248467
0,0,8.312176
0,0,7.673987
0,0,7.3843727
0,0,7.9029036
0,0,9.0467615
0,0,8.216179
0,0,7.5786996
0,0,7.767534
0,1,8.409424
0,0,8.40864
0,0,8.573242
0,0,8.682222
0,0,7.7173915
0,0,7.833479
0,0,7.746656
0,0,7.7900505
0,3,9.617849
0,0,7.700847
0,0,8.321649
0,0,7.311721
0,1,7.725945
0,0,8.178478
0,0,7.7390285
0,0,7.98347
0,0,7.691808
0,0,8.234275
0,0,8.267905
0,0,7.4375343
0,0,8.171789
0,0,7.7225294
0,0,7.788224
0,3,9.612325
0,0,7.559469
0,0,8.330898
0,0,7.5689607
0,0,8.619967
0,0,8.682624
0,0,7.938338
0,0,7.9718432
0,0,7.5489154
0,0,8.428966
0,0,7.6499677
0,0,8.111812
0,0,8.7129755
0,3,9.612943
0,0,7.993291
0,1,9.223778
0,2,9.890125
0,18,10.371594
0,1,8.652939
0,0,8.037183
0,1,8.585036
0,0,7.8869705
0,0,7.9757338
0,0,7.645493
0,0,7.671986
0,3,9.73069
0,0,8.125459
0,0,7.745565
0,0,7.9874206
0,0,8.412837
0,0,7.8594837
0,0,8.112893
0,0,7.675638
0,1,8.523879
0,0,7.479016
0,1,7.5197587
0,0,8.011909
0,0,8.630576
0,1,7.7950845
0,1,9.165806
0,0,8.854656
0,0,8.829631
0,1,8.727701
0,0,8.962105
0,1,8.871463
0,2,8.85693
0,0,8.727096
0,1,8.388844
0,0,8.533587
0,1,8.470818
0,0,7.5347886
0,0,9.076706
0,0,8.036501
0,1,9.599455
0,0,7.617111
0,1,8.892979
0,3,10.061461
0,0,7.564478
0,0,8.473065
0,0,7.963544
0,0,8.097274
0,0,7.733405
0,0,7.7379804
0,0,7.9209065
0,0,7.5929346
0,0,7.829113
0,0,8.347963
0,0,7.776672
0,0,8.407976
0,0,7.9219103
0,0,8.849127
0,0,8.9020605
0,0,7.9551463
0,1,7.8036904
0,1,8.874812
0,0,8.164266
0,0,7.893855
0,0,7.737048
0,0,8.883075
0,0,8.165189
0,0,7.847523
0,1,7.7686234
0,0,7.6621895
0,0,8.206122
0,0,8.43406
0,0,7.6525536
0,0,7.5988593
0,0,8.1051445
0,0,8.293523
0,0,8.5462475
0,0,7.848257
0,0,7.7861853
0,0,7.9549723
0,0,8.17661
0,0,7.597542
0,0,8.543442
0,1,8.283172
0,0,7.661322
0,0,7.9930816
0,0,7.8953547
0,0,7.6058083
0,0,8.124461
0,0,8.14918
0,0,7.994602
0,0,8.032069
0,1,9.012526
0,0,8.287272
0,2,9.235366
0,56,10.785701
0,0,8.488872
0,0,8.780153
0,0,8.134547
0,0,7.597835
0,0,8.145736
0,1,8.020687
0,0,7.8181353
0,1,9.294041
0,1,8.597746
0,0,7.7706513
0,0,7.4824843
0,2,9.512259
0,0,7.8965096
0,1,8.050746
0,0,8.169936
0,0,7.9853964
0,1,8.105601
0,0,8.065565
0,0,8.467129
0,0,8.699252
0,0,7.979095
0,0,8.148954
0,0,8.500642
0,0,7.4044065
0,0,7.864545
0,0,7.8978567
0,0,8.316214
0,0,7.785624
0,0,7.833709
0,1,8.899202
0,0,7.7890964
0,0,7.885373
0,0,7.4947133
0,1,9.48846
0,0,7.7895975
0,0,7.2341294
0,0,7.434811
0,1,7.6817236
0,0,7.871698
0,0,8.819882
0,1,8.782523
0,0,7.6580415
0,5,10.372422
0,1,9.012785
0,0,7.6390424
0,0,7.753571
0,0,8.015283
0,0,9.06227
0,0,7.794258
0,0,7.84129
0,0,8.198417
0,0,7.8643975
0,0,8.788509
0,0,8.8285675
0,0,7.798159
0,5,10.193732
0,0,7.8149295
0,0,8.569472
0,0,8.765926
0,1,9.343152
0,0,8.117124
0,4,10.09691
0,0,7.8774757
0,1,9.14302
0,0,8.873346
0,5,9.765328
0,0,8.051101
0,1,8.4922495
0,0,8.063122
0,0,7.8500876
0,1,9.0674305
0,0,7.722632
0,0,7.7038484
0,0,7.4839287
0,1,8.970263
0,0,7.788819
0,1,8.91351
0,0,9.046967
0,0,8.122808
